,Address,Price SAR,Size m²,Details,District
213,  شارع ابي هريرة حي النسيم الشرقي  ,80000,52,"للايجار محلات في شرق الرياض 
في حي النسيم شارع ابي هريرة ( شارع الحمزة )
شارع 40 م + 4 مفتحات + واجهة العمارة حجر 
الفتحة مساحتها : 4 م في 9 م
الايجار بالكامل : 80،000 ريال
العرض مباشر لدينا من المالك
للتواصل 
زياد القبلان - 0551144244
لدينا عقود ايج...",حي النسيم الشرقي - الرياض
214,"  شارع المشرق, ظهرة لبن,  ",15000,50,"6 محلات جديدة للايجار  بعمارة تجارية 
مساحات مختلفة
ابواب زجاجية
شارع 40 واجهة شرقية
الموقع:مميز أمام شيب شركة المياه يصلح لعدة أنشطة تجارية
واصل شبكة الماء والصرف الصحي
العنوان:شارع المشرق _حي لبن
يوجد تسهيلات للجادين",حي ظهرة لبن - الرياض
215,  طريق عثمان بن عفان حي الملك عبدالله  ,40000,23,"محلات 
على شارع عثمان بن عفان

قريبة من طريق الملك عبدالله
وقريبة من معرض الكتاب 
وموقع ممتاز جميع الخدمات حول المنطقة
شارع كبير على ممشى",حي الملك عبدالله - الرياض
216,  حي المونسية  ,22000,60,,حي المونسية - الرياض
219,  شارع فتح مكة حي بدر  ,50000,98,صاله للايجار شارع عرفات مقابل فوال الطائف مجهز  مطعم بروستد,حي بدر - الرياض
220,  شارع النجاح حي اليرموك  ,45000,70,"محل للايجار مساحه 70م

شارع تجاري حيوي في حي اليرموك

لدي مكتب اعتمد للعقارات",حي اليرموك - الرياض
222,  شارع الحسن بن علي حي الروضة  ,150000,500,"المحل مجهز ديكورات وفي شقه خلفيه 
السامي للعقارات 
٠٥٥٦١٠٠٦٨٧",حي الروضة - الرياض
224,  شارع الإمام الشافعي حي الروابي  ,13000,36,"محل للإيجار :

المساحة = 36 م٢(9*4) يحتوي على دورة مياه ومغسله.

• إعطاء المستأجر شهرين مجاناً .

الموقع :

الرياض - السلام - شارع الإمام الشافعي .

للاستفسار :

0550278111",حي الروابي - الرياض
226,  شارع سلطان بن نمر حي الرمال  ,40000,600,للايجار سطح عماره لشركات الجوال لوضع برج اتصال العماره رخصتها سكن عزاب.  ونرحب بالوسطاء,حي الرمال - الرياض
233,  حي ظهرة نمار  ,18000,300,محلات  تجاريه شارعين   للايجار بالكامل  او مجزاء,حي ظهرة نمار - الرياض
234,  شارع الاعتدال حي بدر  ,25000,900,"للايجار 5 محلات+ حوش خلفي 

 على شارع الاعتدال 

محل كبير مساحه 520 + حوش مساحه 250 م 

الايجار ب 240 الف 

باقي المحلات 
الايجار 25 الف 



الاسعار قابله للتفاوض في المعقول 
للاستفسار : 

0557368308",حي بدر - الرياض
236,  شارع الامير بندر بن عبدالعزيز حي الاندلس  ,130000,270,"الجزء الاول للتصوير ( يوجد فيديوا للمعرض )
============






0542758542

0555291466

0532653111

0505291466  واتس اب وتحديد موعد فقط.",حي الاندلس - الرياض
239,  طريق الملك عبدالعزيز الفرعي حي المروج  ,100000,140,للايجار معرض على طريق الملك عبدالعزيز - قريب من الدائري  الشمالي المساحه 140م,حي المروج - الرياض
241,"  شارع البيضاء, المونسية,  ",16000,44,"محل للإيجار
مقسم مكتب وغرفه صغيره 
ودورة مياه",حي المونسية - الرياض
248,  طريق الامام سعود بن فيصل حي العقيق  ,85000,80,"فتحتين للايجار على طريق الامام سعود بن فيصل قريبة لطريق الملك فهد .. 
سعر الايجار قابل للتفاوض ..",حي العقيق - الرياض
249,  حي المونسية  ,16000,32,"محل تجاري فتحة واحدة يصلح جميع المجالات ...
كما يوجد لدينا محلات للتقبيل ومحلات فتحتين يصلح جميع المجالات 
حى المونسية...
حى غرناطة.....
حى قرطبة......
حى اشبيليا....
أضواء المساكن 
أبو صلاح 
تواصل واتس... 0553479893",حي المونسية - الرياض
250,  شارع المشتل حي الحزم  ,55000,56,محل على شارع المشتل للايجار مساحة المحل 56  منر,حي الحزم - الرياض
251,  حي الملقا  ,35000,72,"6معارض للايجار 
حي اللقا-شارع ابها

للتواصل/ 0507947000
ايراد المباني",حي الملقا - الرياض
252,  شارع الامير بندر بن عبدالعزيز حي الاندلس  ,130000,270,"الجزء الثاني للتصوير ( يوجد فيديوا للمعرضين ) ميزانيين
=============






0542758542

0555291466

0532653111

0505291466  واتس اب وتحديد موعد فقط.",حي الاندلس - الرياض
254,  طريق الشيخ حسن بن حسين بن علي حي قرطبة  ,75000,117,"معرض ميزانين على شارع الحسن بن حسين بن علي 
المتوفر معرضين فقط متجاورة مساحة 117متر و 112متر


‎🛑التواصل عن طريق البرنامج أو الواتساب فقط 🛑

               رقم التواصل 0501003127",حي قرطبة - الرياض
256,  شارع قس بن ساعدة حي الملك فيصل  ,12000,40,محلات الايجار عدد ٢محل سعر المحل ١٢الف,حي الملك فيصل - الرياض
257,  شارع نجم الدين الايوبي حي ظهرة نمار  ,45000,90,"للايجار 6 محلات مساحة المحل 90 متر
اجمالي المساحه 540متر",حي ظهرة نمار - الرياض
259,  حي ظهرة لبن  ,9000,30,"محلات تجاريه عدد (٣) فتحات قيمة كل فتحه ٩٠٠٠ ريال سنوي ومستودع صغير في موقع متميز وقريبه من مجمع مدارس.

وأول شهرين مجانا.",حي ظهرة لبن - الرياض
262,"  شارع اسطنبول, السلي,  ",30000,80,"محلات للإيجار جديدة : 

عبارة : عن 2 محل .

المساحة  = 80 م٢ .

ويوجد في كل محل دورة مياه .

✨ مع إمكانية إعطاء المستأجر  2 شهر مجاناً  ✨ 

الموقع :

الرياض - السلي - شارع اسطنبول .

للإستفسار :

0550278111",حي السلي - الرياض
263,  طريق عثمان بن عفان حي الندى  ,294000,420,"معارض للايجار العدد ٨
مساحة كل معرض ٤٢٠ ميزانين الارتفاع ٧ متر
موقع تجاري حساس على طريق عثمان بن عفان
للإستفسار ٠٥٠٥٣٧٤٨٤٣",حي الندى - الرياض
265,  طريق الملك عبدالعزيز حي العارض  ,15000,28,"يوجد عدد ٢محل
ا محل عباره عن فتحتين إيجار في السنه ٢٥الف +٥٠٠ريال ماء
١محل فتحه واحده ايجار في السنه ١٥ الف+٥٠٠ريال ماء
شارع 30 نافذ من طريق الملك عبدالعزيز
للعلم الموقع غير دقيق العمر جديد
الكبيره:-
العرض 7.20
العمق 7.90

الصغير:-
العرض 4.10
العمق 6...",حي العارض - الرياض
266,  حي المونسية  ,30000,30,"للايجار محل تجارى المونسية رقم  1627
المواصفات : محلات تجارىه  تتكون من : 
مساحة الفتحه الواحده  30 متر   5*6 
عمر العقار // جديد
الموقع //  االمونسية شارع الصحابة الربيع مول 
السعر //30000  
رقم العرض // 1627
ملاحظات // الموقع غير دقيق
مكتب الفريح ل...",حي المونسية - الرياض
270,  شارع عبد الله الخالدي حي المناخ  ,13000,32,"عقار رقم 254
محل 4 في 8
السعر /           13 الف
طريقة الدفع كل ست شهور او سنة


عزيزي العميل 
نسعد بخدمتــك 
واهلاً بك في حي المناخ 
يوجد لدينااا اكثر من 2200 عقار 
تحت ادارة التويجري العقارية 
وجميعهااا في حي المناخ 
1/ للاسف لايوجد تاجير شهري 
وال...",حي المناخ - الرياض
271,  شارع إبن كريز حي غبيرة  ,15000,44,"محل للايجار علي شارع الفرزدق حي غبيره
٠١١٢٨٧٠٠٠٢
٠١١٢٨٦٩٠٠٠
مكتب الملحم للعقارات",حي غبيرة - الرياض
272,"  شارع احمد بن منيع, الحزم,  ",10000,32,"5 محلات جديدة للايجار مساحة المحل الواحد 8*4 = 32م تقريبا واجار المحل ب 10 الاف الشارع متوفر فيه جميع الخدمات والمدارس و الكثافة السكانية

مكتب السلامه للعقارات 

0554666024


0553135552",حي الحزم - الرياض
273,  شارع الشيخ عبدالله بن جبرين حي القيروان  ,18000,40,"✨محل  للايجار  
حي القيروان شمال طريق الملك سلمان  
المساحة 44م 
الاطوال 4*10
شارع 36م  (الشيخ عبدالله بن جبرين نافذ ع طريق الخير  والملك  فهد 


  🌟مميزات الموقع  🌟
قريب من طرق الخير 
والشارع  نشط ومناسب لجميع الانشطه 

الايجار  السنوي  18.000ألف ...",حي القيروان - الرياض
